"Carbono, asimétrico","[-1.1505880320982466e-05, -1.0746782212333488e-05, -1.0907524681321374e-05, -1.121752801436949e-05, -1.110489893745959e-05, -1.0907524681321372e-05]"
"Carbono, simétrico","[-1.1287889644567484e-05, -1.1780126655827108e-05, -1.1343825668574276e-05, -1.1343825668574274e-05, -1.118021279835444e-05, -1.1780126655827108e-05]"
"Acero, simétrico","[-2.1241869634291033e-05, -2.1378748375389976e-05, -2.1378748375389983e-05, -2.1233314712972352e-05, -2.1227378645118567e-05, -2.1378748375389983e-05]"
"Aluminio, asimétrico","[-2.2412092818883572e-05, -1.380088912310349e-05, -1.8594732551966978e-05, -2.189092779520853e-05, -1.800215812621567e-05, -2.1860975782353638e-05]"
"Aluminio, simétrico","[-1.6043977213070953e-05, -1.7321149193938395e-05, -1.3486833458904454e-05, -1.6466322444839293e-05, -1.4016169215497997e-05, -1.6361287021982114e-05]"
