"Carbono, simétrico","[0.0, 1.9579146524608847e-06, 3.967432052251589e-06, 2.3330608806946956e-05, 3.9594537191710766e-05, 3.510179931121816e-05, 3.5389362763859434e-05]"
"Carbono, asimétrico","[0.0, 8.424329478990694e-07, 1.299241990091233e-06, 1.4575750325471256e-05, 1.9178177797040445e-05, 9.205155428810658e-06, 4.136534877412393e-05]"
"Acero, simétrico","[0.0, 3.441900388883679e-05, 6.431475109976956e-06, 7.894704894294589e-05, 4.817239417496765e-06, 0.00010167328847895848, 9.958861384125895e-06]"
"Acero, asimétrico","[0, 0, 0, 0, 0, 0, 0]"
"Aluminio, simétrico","[0.0, 0.00017848617160989648, 3.377300311658253e-05, 2.666680634120784e-05, 0.00012984586123936036, 1.1075034141801337e-06, 0]"
"Aluminio, asimétrico","[0.0, 0.00023081254511370363, 8.728831871878802e-06, 0.0002702429849130851, 0.0002796726050295792, 8.819959588227409e-06, 0.0002238236164336439]"
